CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2016 Score,Change in Yearly Score from 2015,Property Rights,Change in Property Rights from 2015,Freedom from Corruption,Change in Freedom from Corruption from 2015,Fiscal Freedom ,Change in Fiscal Freedom from 2015,Gov't Spending,Change in Gov't Spending from 2015,Business Freedom,Change in Business Freedom from 2015,Labor Freedom,Change in Labor Freedom from 2015,Monetary Freedom,Change in Monetary Freedom from 2015,Trade Freedom,Change in Trade Freedom from 2015,Investment Freedom ,Change in Investment Freedom from 2015,Financial Freedom,Change in Financial Freedom from 2015,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
85,Kenya,Kenya,Sub-Saharan Africa,115,19,57.5,1.9,30.0,0.0,25.0,-2.0,79.4,1.4,80.8,8.7,48.6,0.7,62.2,-1.6,73.5,0.7,65.6,1.6,60,10.0,50,0.0,9.7,30.0,30.0,16.2,25.3,Kenya,42.9,$132.4 ,5.3,6.0,"$3,084",9.2,6.9,989.0,48.6
86,Kiribati,Kiribati,Asia-Pacific,165,38,46.2,-0.2,30.0,0.0,29.2,0.0,73.3,0.3,0.0,0.0,51.6,-5.2,83.9,0.0,81.0,0.4,58.2,2.8,25,0.0,30,0.0,15.9,35.0,35.0,14.9,96.6,Kiribati,0.1,$0.2 ,3.8,1.7,"$1,713",N/A,2.1,1.2,7.993
87,"Korea, North ",NorthKorea,Asia-Pacific,178,42,2.3,1.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5,5.0,5.0,5.0,0.0,0.0,0,0.0,0,0.0,0,0.0,N/A,100.0,100.0,100.0,100.0,"Korea, North",24.7,$15.50 ,0.9,N/A,N/A,N/A,N/A,134.3,N/A
88,"Korea, South",SouthKorea,Asia-Pacific,27,7,71.7,0.2,70.0,-5.0,55.0,0.0,73.8,1.3,69.7,1.8,91.1,1.4,50.6,-0.5,82.6,1.0,74.6,2.0,70,0.0,80,0.0,7.7,38.0,24.2,24.3,31.8,"Korea, South",50.4,"$1,778.8 ",3.3,3.8,"$35,277",3.5,1.3,"9,898.5",35.7
89,Kuwait,Kuwait,Middle East / North Africa,74,7,62.7,0.2,45.0,0.0,44.0,1.0,97.7,0.0,57.7,-3.4,63.4,4.8,62.7,-1.5,74.2,0.2,77.2,1.0,55,0.0,50,0.0,3.9,0.0,15.0,0.7,37.5,Kuwait,4.0,$284.0 ,1.3,3.3,"$71,020",3.0,2.9,485.8,7.1
90,Kyrgyz Republic,KyrgyzRepublic,Asia-Pacific,96,19,59.6,-1.7,20.0,0.0,27.0,3.0,93.7,0.1,56.3,3.1,65.3,-8.4,80.4,-4.6,68.4,-5.4,75,-5.2,60,0.0,50,0.0,2.5,10.0,10.0,20.8,38.1,Kyrgyz Republic,5.7,$19.2 ,3.6,3.7,"$3,361",8.1,7.5,210.5,53.0
91,Lao P.D.R.,Laos,Asia-Pacific,155,35,49.8,-1.6,15.0,0.0,25.0,-1.0,86.1,-0.1,73.8,-13.0,55.9,-3.6,57.6,0.5,71.3,-3.2,58.6,0.0,35,5.0,20,0.0,13.2,24.0,24.0,15.3,29.6,Laos,6.9,$34.4 ,7.4,7.9,"$4,987",1.4,4.1,720.8,62.5
92,Latvia,Latvia,Europe,36,17,70.4,0.7,50.0,0.0,55.0,2.0,84.8,0.4,58.4,-0.8,78.6,-3.5,59.5,-2.0,84.8,1.0,88,0.0,85,0.0,60,10.0,1.0,23.0,15.0,27.7,37.2,Latvia,2.0,$48.2 ,2.4,2.7,"$23,707",10.0,0.7,473.5,37.8
93,Lebanon,Lebanon,Middle East / North Africa,98,10,59.5,0.2,20.0,0.0,27.0,-1.0,91.3,0.0,75.7,5.1,59.1,4.4,57.3,-3.4,79.0,7.0,75.8,0.0,60,0.0,50,-10.0,7.1,20.0,15.0,15.5,28.5,Lebanon,4.5,$81.1 ,2.0,3.2,"$17,986",6.4,1.9,"3,070.1",134.4
94,Lesotho,Lesotho,Sub-Saharan Africa,152,38,50.6,1.0,30.0,-5.0,49.0,0.0,59.1,-9.4,0.0,0.0,53.3,-1.4,62.1,-1.8,76.9,1.7,85.8,21.2,50,5.0,40,0.0,2.1,35.0,25.0,47.3,62.6,Lesotho,1.9,$5.3 ,2.2,4.5,"$2,764",26.2,3.9,46.4,45.9
95,Liberia,Liberia,Sub-Saharan Africa,143,34,52.2,-0.5,25.0,0.0,37.0,-1.0,83.8,0.8,67.7,-2.2,55.1,-5.0,44.5,0.6,71.0,-1.7,72.8,-1.6,45,5.0,20,0.0,6.1,25.0,25.0,19.2,32.8,Liberia,4.2,$3.7 ,0.5,6.2,$882,3.8,9.9,302.0,33.2
96,Libya,Libya,Middle East / North Africa,N/A,N/A,N/A,N/A,10.0,0.0,18.0,3.0,95,0.0,0,-37.5,55.5,8.7,63.1,-3.6,74,2.6,N/A,N/A,5,0.0,N/A,N/A,N/A,10.0,20.0,0.7,69.8,Libya,6.2,$97.6 ,-24.0,2.0,"$15,706",19.2,2.8,50,39.3
97,Liechtenstein,Liechtenstein,Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,0.0,85,0.0,80,0.0,0.0,7.0,12.5,N/A,N/A,Liechtenstein,"37,624",$5.80 ,1.8,N/A,"$158,976 ",2.3,-0.7,N/A,N/A
98,Lithuania,Lithuania,Europe,13,6,75.2,0.5,65.0,5.0,58.0,1.0,92.9,0.0,63.8,2.5,80,-4.9,60.0,-2.0,84.6,3.4,88,0.0,80,0.0,80,0.0,1.0,15.0,15.0,16.0,34.7,Lithuania,2.9,$79.6 ,2.9,3.6,"$27,051",11.3,0.2,217.1,37.7
99,Luxembourg,Luxembourg,Europe,19,9,73.9,0.7,90.0,0.0,82.0,2.0,61.1,-1.2,43.0,0.8,73.7,2.4,42.6,0.5,83.2,2.5,88,0.0,95,0.0,80,0.0,1.0,43.6,21.0,39.3,43.6,Luxembourg,0.6,$51.4 ,2.9,2.5,"$92,049",6.1,0.7,"7,087.0",24.6
100,Macau,Macau,Asia-Pacific,37,9,70.1,-0.2,60.0,0.0,49.7,0.0,73.1,1.3,93.9,2.1,60,0.0,50.0,0.0,69.6,-5.3,90,0.0,85,0.0,70,0.0,0.0,12.0,39.0,32.0,14.3,Macau,0.6,80.8,-0.4,13.7,139220,N/A,6,"3,046.1",0
101,Macedonia,Macedonia,Europe,47,22,67.5,0.4,35.0,0.0,45.0,1.0,92.1,0.7,69.6,4.0,76.4,-2.8,66.7,-4.0,83.5,4.5,86.4,0.2,60,0.0,60,0.0,1.8,10.0,10.0,24.2,31.8,Macedonia,2.1,$27.6 ,3.8,2.3,"$13,349",27.9,-0.1,348.0,38.0
102,Madagascar,Madagascar,Sub-Saharan Africa,87,9,61.1,-0.6,45.0,0.0,28.0,0.0,91.1,0.2,93.4,-1.3,52.9,-9.4,48.5,3.4,74.5,-4.7,77.2,5.4,50,0.0,50,0.0,6.4,20.0,20.0,9.3,14.9,Madagascar,23.6,$33.9 ,3.0,2.0,"$1,437",3.6,6.1,350.7,34.907
103,Malawi,Malawi,Sub-Saharan Africa,146,36,51.8,-3.0,40.0,0.0,33.0,-4.0,79.0,0.5,27.1,-21.9,44.5,-4.6,63.4,0.3,53.6,-0.2,72.4,0.2,55,0.0,50,0.0,3.8,30.0,30.0,17.4,49.3,Malawi,17.6,$13.7 ,5.7,4.7,$780,7.5,23.8,130.0,62.0
104,Malaysia,Malaysia,Asia-Pacific,29,8,71.5,0.7,55.0,0.0,52.0,2.0,85.0,0.6,74.3,0.3,91.4,-2.1,71.5,-4.2,84.5,3.7,81.4,1.4,60,5.0,60,0.0,4.3,25.0,25.0,15.8,29.3,Malaysia,30.3,$746.1 ,6.0,5.8,"$24,654",2.0,3.1,"10,799.2",57.0
105,Maldives,Maldives,Asia-Pacific,132,28,53.9,0.5,25.0,0.0,21.9,0.0,94.0,-1.5,60.8,10.2,81.5,-4.3,70.4,-3.0,73.0,-1.1,47.8,0.0,35,5.0,30,0.0,21.1,0.0,0.0,24.5,36.1,Maldives,0.3,$4.9 ,5.0,4.9,"$14,383",11.6,2.5,363.3,74.8
106,Mali,Mali,Sub-Saharan Africa,121,23,56.5,0.1,25.0,0.0,32.0,4.0,70.3,0.7,82.8,-6.4,46.3,-0.9,50.8,0.1,83.0,1.9,70.2,-3.0,65,5.0,40,0.0,7.4,40.0,35.0,12.2,23.9,Mali,15.8,$27.3 ,6.8,3.4,"$1,729",8.1,0.9,198.9,31.5
107,Malta,Malta,Europe,55,24,66.7,0.2,70.0,-5.0,55.0,-1.0,63.9,0.8,46.5,2.1,61.6,0.6,53.5,-2.1,83.5,1.7,88,0.0,85,5.0,60,0.0,1.0,35.0,35.0,34.0,42.2,Malta,0.4,$14.1 ,3.6,2.9,"$33,216",5.9,0.8,"9,278.9",68.1
108,Mauritania,Mauritania,Sub-Saharan Africa,128,25,54.8,1.5,25.0,0.0,30.0,0.0,81.6,1.4,75.3,15.5,48.7,-1.8,50.7,-1.4,77.7,1.1,69,0.0,50,0.0,40,0.0,8.0,30.0,25.0,17.7,28.7,Mauritania,3.6,$15.5 ,6.4,5.4,"$4,288",31.0,3.5,492.5,59.1
109,Mauritius,Mauritius,Sub-Saharan Africa,15,1,74.7,-1.7,60.0,-5.0,54.0,2.0,92.0,0.1,81.5,-5.9,77.5,-0.5,65.0,-3.2,78.7,1.1,88.6,0.2,80,-5.0,70,0.0,0.7,15.0,15.0,18.6,24.9,Mauritius,1.3,$23.4 ,3.2,3.5,"$18,553",7.7,3.0,418.4,52.8
110,Mexico,Mexico,North America,62,3,65.2,-1.2,50.0,0.0,35.0,1.0,74.9,-2.9,76.4,-1.6,70.7,-0.8,58.2,-1.7,77.4,-0.2,79.2,-6.4,70,0.0,60,0.0,5.4,35.0,30.0,19.7,28.1,Mexico,119.7,"$2,140.6 ",2.1,3.3,"$17,881",4.9,4.0,"22,794.7",50.1
111,Micronesia,Micronesia,Asia-Pacific,147,32,51.8,2.2,30.0,0.0,30.0,0.0,93.2,0.0,0.0,0.0,57.5,6.5,79.1,0.0,82.1,5.2,85.6,4.6,30,5.0,30,0.0,2.2,10.0,21.0,11.6,59.6,Micronesia,0.1,$0.3 ,0.1,0.2,"$3,015",N/A,0.7,0.8,26.539
112,Moldova,Moldova,Europe,117,40,57.4,-0.1,40.0,0.0,35.0,0.0,85.4,0.3,55.6,3.8,64.6,-2.2,39.3,-1.3,76.0,-0.1,73.6,-6.2,55,5.0,50,0.0,5.7,18.0,12.0,31.5,38.5,Moldova,3.6,$17.7 ,4.6,5.4,"$4,979",3.4,5.1,207.4,31.5
113,Mongolia,Mongolia,Asia-Pacific,100,22,59.4,0.2,30.0,0.0,39.0,1.0,84.4,0.5,51.5,15.9,67.7,-0.5,77.9,-4.8,68.0,-1.2,70,-4.8,45,-5.0,60,0.0,5.0,10.0,25.0,28.8,40.2,Mongolia,2.9,$34.8 ,7.8,14.0,"$11,882",4.8,12.9,507.6,67.3
114,Montenegro,Montenegro,Europe,65,31,64.9,0.2,40.0,0.0,42.0,-2.0,91.6,-1.0,39.8,3.1,76.6,-0.5,72.0,-5.5,82.6,2.9,84.8,0.0,70,5.0,50,0.0,2.6,9.0,9.0,26.0,44.8,Montenegro,0.6,$9.4 ,1.1,1.5,"$14,996",19.1,-0.7,497.0,58.4
115,Morocco,Morocco,Middle East / North Africa,85,9,61.3,1.2,40.0,0.0,39.0,2.0,71.5,0.6,65.6,4.6,66.4,-2.4,34.3,0.9,84.1,2.2,81.8,3.6,70,0.0,60,0.0,4.1,38.0,30.0,22.4,33.9,Morocco,33.2,$252.4 ,2.9,3.7,"$7,606",10.2,0.4,"3,582.3",63.9
116,Mozambique,Mozambique,Sub-Saharan Africa,139,31,53.2,-1.6,30.0,0.0,31.0,1.0,74.3,-0.9,63.5,-3.0,55.9,-5.0,41.9,4.0,79.5,-2.5,70.8,-4.6,35,-5.0,50,0.0,7.1,32.0,32.0,22.9,34.9,Mozambique,26.5,$31.1 ,7.4,7.3,"$1,174",22.6,2.3,"4,901.8",55.4
117,Namibia,Namibia,Sub-Saharan Africa,81,8,61.9,2.3,30.0,0.0,49.0,1.0,64.4,-2.3,63.9,7.9,68.2,3.9,84.5,-6.4,75.1,0.8,83.4,12.2,60,5.0,40,0.0,0.8,37.0,34.0,32.1,34.7,Namibia,2.2,$23.6 ,5.3,5.3,"$10,765",18.6,5.3,413.7,25.2
118,Nepal,Nepal,Asia-Pacific,151,34,50.9,-0.4,30.0,0.0,29.0,-2.0,85.1,-0.5,91.1,2.2,64.9,-0.8,47.3,3.0,70.8,0.3,55.6,-6.2,5,0.0,30,0.0,14.7,25.0,25.0,15.3,17.2,Nepal,28.1,$66.8 ,5.5,4.5,"$2,376",2.7,9.0,29.6,26.3
119,Netherlands,Netherlands,Europe,16,7,74.6,0.9,90.0,0.0,83.0,0.0,52.7,0.9,34.4,10.6,80,-4.3,64.0,-2.3,83.4,3.6,88,0.0,90,0.0,80,0.0,1.0,52.0,25.0,37.4,46.8,Netherlands,16.9,$798.6 ,0.9,0.3,"$47,355",6.9,0.3,"30,253.3",68.3
120,New Zealand,NewZealand,Asia-Pacific,3,3,81.6,-0.5,95.0,0.0,91.0,0.0,71.0,0.6,46.0,3.0,91.4,-4.1,85.9,-5.5,88.1,0.5,87.2,0.4,80,0.0,80,0.0,1.4,33.0,28.0,32.1,42.4,New Zealand,4.5,$158.9 ,3.2,2.2,"$35,152",5.6,1.2,"3,391.3",34.0
121,Nicaragua,Nicaragua,South and Central America / Caribbean,109,18,58.6,1.0,10.0,0.0,28.0,0.0,78.0,-0.4,82.8,6.2,61.2,3.2,55.7,-1.0,69.0,1.2,86.2,0.8,65,0.0,50,0.0,1.9,30.0,30.0,20.0,24.0,Nicaragua,6.2,$29.5 ,4.5,4.7,"$4,736",5.3,6.0,840.0,32.2
122,Niger,Niger,Sub-Saharan Africa,129,26,54.3,-0.3,30.0,0.0,35.0,1.0,76.3,-0.3,76.8,-6.8,39.6,0.4,42.3,1.4,83.0,1.7,64.6,-1.0,55,0.0,40,0.0,10.2,35.0,30.0,15.8,27.8,Niger,17.1,$17.9 ,6.9,6.8,"$1,048",5.1,-0.9,769.0,36.4
123,Nigeria,Nigeria,Sub-Saharan Africa,116,20,57.5,1.9,30.0,0.0,27.0,2.0,85.1,-0.1,94.6,18.5,48.7,0.4,72.9,-4.8,71.5,1.1,64.8,1.0,40,0.0,40,0.0,10.1,24.0,30.0,3.1,13.4,Nigeria,173.9,"$1,049.1 ",6.3,6.2,"$6,031",7.5,8.1,"4,693.8",10.5
124,Norway,Norway,Europe,32,16,70.8,-1.0,90.0,0.0,86.0,0.0,53.2,1.1,41.8,-2.0,89.6,-2.5,48.5,0.3,76.2,-5.5,87.8,-1.6,75,0.0,60,0.0,1.1,47.8,27.0,40.8,44.0,Norway,5.2,$345.2 ,2.2,1.5,"$66,937",3.4,2.0,"8,682.5",30.1
125,Oman,Oman,Middle East / North Africa,52,6,67.1,0.4,55.0,0.0,45.0,-2.0,98.5,0.0,36.8,-7.4,70.1,1.7,72.5,-3.6,77.9,1.7,85,8.2,70,5.0,60,0.0,2.5,0.0,12.0,2.6,45.9,Oman,4.1,$162.4 ,2.9,4.5,"$39,681",7.2,1.0,"1,179.9",5.1
126,Pakistan,Pakistan,Asia-Pacific,126,26,55.9,0.3,30.0,0.0,29.0,1.0,79.0,1.3,86.2,0.1,61.2,-4.4,42.1,0.0,71.5,0.3,65,-0.6,55,5.0,40,0.0,10.0,30.0,33.0,10.5,21.4,Pakistan,186.3,$882.3 ,4.1,3.6,"$4,736",5.2,8.6,"1,747.0",64.2
127,Panama,Panama,South and Central America / Caribbean,66,13,64.8,0.7,30.0,0.0,37.0,2.0,84.4,-0.1,77.9,-0.9,74.4,2.9,42.9,1.4,78.6,2.2,77.8,-0.6,75,0.0,70,0.0,6.1,25.0,25.0,17.7,27.2,Panama,3.9,$76.4 ,6.2,8.7,"$19,455",4.3,2.6,"4,718.9",45.6
128,Papua New Guinea,PapuaNewGuinea,Asia-Pacific,140,30,53.2,0.1,20.0,0.0,25.0,0.0,67.3,0.4,76.2,7.5,59.9,6.4,71.9,-2.6,70.6,-2.1,85.6,0.6,25,-10.0,30,0.0,2.2,42.0,30.0,24.7,28.2,Papua New Guinea,7.5,$18.1 ,5.8,7.6,"$2,399",2.5,5.3,-30.4,35.6
129,Paraguay,Paraguay,South and Central America / Caribbean,83,16,61.5,0.4,30.0,0.0,24.0,0.0,96.3,0.3,83.3,1.4,62.6,4.2,30.4,4.1,76.8,-1.5,76.2,-5.2,75,0.0,60,0.0,4.4,10.0,10.0,13.1,23.6,Paraguay,6.9,$58.3 ,4.4,7.0,"$8,449",4.5,5.0,236.3,21.4
130,Peru,Peru,South and Central America / Caribbean,49,9,67.4,-0.3,40.0,0.0,38.0,0.0,78.5,-0.1,86.1,-2.4,67.8,0.1,62.9,-0.5,83.7,-0.2,87,0.0,70,0.0,60,0.0,1.5,30.0,30.0,18.6,21.5,Peru,31.4,$371.3 ,2.4,5.8,"$11,817",4.2,3.2,"7,606.6",20.7
131,Philippines,Philippines,Asia-Pacific,70,14,63.1,0.9,30.0,0.0,38.0,2.0,79.0,-0.1,89.6,0.3,63,7.7,57.1,-1.1,77.7,-1.1,76.4,1.0,60,0.0,60,0.0,4.3,32.0,30.0,13.3,18.6,Philippines,99.4,$692.2 ,6.1,6.3,"$6,962",7.1,4.2,"6,200.5",37.2
132,Poland,Poland,Europe,39,18,69.3,0.7,65.0,5.0,61.0,1.0,75.5,-6.6,46.5,-0.6,68.7,1.4,58.0,-2.4,85.2,3.9,88,0.0,75,5.0,70,0.0,1.0,32.0,19.0,32.7,42.2,Poland,38.0,$954.5 ,3.3,3.0,"$25,105",9.2,-0.0,"13,882.8",48.8
133,Portugal,Portugal,Europe,64,30,65.1,-0.2,70.0,0.0,63.0,1.0,60.5,-0.6,24.8,-4.0,85.3,-2.2,43.5,0.6,85.7,2.9,88,0.0,70,0.0,60,0.0,1.0,48.0,23.0,33.4,50.1,Portugal,10.4,$280.4 ,0.9,-0.9,"$26,975",14.2,-0.2,"8,807.1",130.2
134,Qatar,Qatar,Middle East / North Africa,34,3,70.7,-0.1,65.0,-5.0,69.0,1.0,99.7,0.0,70.4,-1.5,71.4,0.9,70.7,-0.5,74.1,-5.6,81.8,0.0,45,0.0,60,10.0,4.1,0.0,0.0,5.2,31.4,Qatar,2.2,$320.5 ,6.1,9.7,"$143,427",0.3,3.0,"1,040.4",31.5
135,Romania,Romania,Europe,61,29,65.6,-1.0,35.0,-5.0,43.0,0.0,87.5,0.6,65.6,3.3,66.1,-3.7,65.1,-3.5,81.1,3.8,88,0.0,75,-5.0,50,0.0,1.0,16.0,16.0,27.2,33.8,Romania,19.9,$392.8 ,2.9,1.4,"$19,712",7.0,1.1,"3,234.0",40.4
136,Russia,Russia,Europe,153,42,50.6,-1.5,20.0,0.0,27.0,-1.0,82.2,-3.9,56.2,-1.6,72.2,-4.1,57.6,-1.3,62.9,-1.0,72.4,-2.6,25,0.0,30,0.0,6.3,13.0,20.0,34.8,38.2,Russia,143.7,"$3,564.5 ",0.6,2.8,"$24,805",5.1,7.8,"20,957.7",17.9
137,Rwanda,Rwanda,Sub-Saharan Africa,71,4,63.1,-1.7,30.0,0.0,49.0,-4.0,80.1,-0.1,77.1,-2.1,60.5,1.0,82.0,-2.5,79.4,3.4,67.6,-13.2,65,0.0,40,0.0,8.7,30.0,30.0,13.9,27.6,Rwanda,11.1,$18.8 ,7.0,6.8,"$1,698",0.6,1.8,267.7,28.0
138,Saint. Lucia,SaintLucia,South and Central America / Caribbean,38,4,70.0,-0.2,70.0,0.0,71.0,0.0,76.9,-0.8,70.6,4.8,77.6,2.0,76.2,-3.6,80.3,-5.2,72,0.0,65,0.0,40,0.0,9.0,30.0,30.0,22.6,31.3,St. Lucia,0.2,$2.0 ,-1.1,0.0,"$11,594",N/A,2.5,75.2,83.9
139,Saint. Vincent and the Grenadines,SaintVincentGrenadines,South and Central America / Caribbean,40,5,68.8,0.8,70.0,0.0,67.0,5.0,73.8,0.5,69.7,-5.6,77.6,6.8,74.5,-3.7,85.3,3.0,65.4,-3.0,65,5.0,40,0.0,12.3,32.5,33.0,21.7,31.8,St. Vincent and the Grenadines,0.1,$1.2 ,1.1,0.5,"$10,778",N/A,0.2,138.6,75.1
140,Samoa,Samoa,Asia-Pacific,69,13,63.5,1.6,60.0,0.0,52.0,14.0,78.9,-1.3,57.5,11.0,77.1,3.5,71.8,-6.6,82.5,1.3,70.6,-5.2,55,0.0,30,0.0,9.7,27.0,27.0,25.6,37.6,Samoa,0.2,$1.0 ,1.9,1.2,"$5,180",N/A,-1.2,22.9,54.978
141,São Tomé and Príncipe,SaoTomePrincipe,Sub-Saharan Africa,120,22,56.7,3.4,25.0,0.0,42.0,0.0,87.4,-0.4,70.1,28.7,65.9,0.8,46.1,0.3,67.6,-3.1,73,-2.2,60,10.0,30,0.0,8.5,20.0,25.0,15.2,31.6,São Tomé and Príncipe,0.2,$0.6 ,4.5,4.4,"$3,153",N/A,7.0,19.9,68.2
142,Saudi Arabia,SaudiArabia,Middle East / North Africa,78,8,62.1,0.0,40.0,0.0,49.0,3.0,99.7,0.0,56.8,-5.1,69.9,4.1,68.5,-4.2,69.2,0.8,77.8,1.4,40,0.0,50,0.0,3.6,2.5,2.5,4.3,38.0,Saudi Arabia,30.8,"$1,605.7 ",3.6,5.3,"$52,183",5.6,2.7,"8,012.0",1.6
143,Senegal,Senegal,Sub-Saharan Africa,111,18,58.1,0.3,40.0,0.0,43.0,2.0,71.6,0.3,76.1,1.5,49.1,-5.5,42.4,2.9,84.9,1.9,73.8,-0.2,60,0.0,40,0.0,8.1,40.0,30.0,18.4,28.2,Senegal,14.5,$33.6 ,4.5,3.4,"$2,311",10.0,-0.5,342.7,50.7
144,Serbia,Serbia,Europe,77,33,62.1,2.1,50.0,5.0,41.0,-1.0,84.3,1.9,44.1,17.0,60.2,2.4,66.2,-4.2,77.5,5.3,77.8,-0.4,70,-5.0,50,0.0,6.1,15.0,15.0,33.4,43.2,Serbia,7.2,$95.5 ,-1.8,0.3,"$13,329",22.2,2.1,"1,996.1",72.4
145,Seychelles,Seychelles,Sub-Saharan Africa,76,6,62.2,4.7,50.0,0.0,55.0,1.0,79.3,-0.5,62.0,2.6,66,-1.7,62.1,-1.8,79.7,3.7,83.4,39.4,55,5.0,30,0.0,3.3,15.0,33.0,27.5,35.6,Seychelles,0.1,$2.4 ,2.9,5.9,"$25,607",N/A,1.4,228.7,64.6
